id,value,
Mother.Experimental Models.Outcomes.Inflammation,,
Mother.Experimental Models.Outcomes.Oxidative Stress,,
Mother.Experimental Models.Models,,
Mother.Experimental Models.Models.Placental Cell lines,,
Mother.Experimental Models.Models.Macrophages,,
Mother.Experimental Models.Models.Computational,,
Mother.Experimental Models.Models.HTS Yeast,,
Mother.Environmental Monitoring,,
Mother.Environmental Monitoring.Tap/treated Water,,
Mother.Environmental Monitoring.Tap/treated Water.Metals,,
Mother.Environmental Monitoring.Tap/treated Water.Metals.As,,
Mother.Environmental Monitoring.Tap/treated Water.Metals.Pb,,
Mother.Environmental Monitoring.Tap/treated Water.Metals.Cu,,
Mother.Environmental Monitoring.Tap/treated Water.Metals.Mn,,
Mother.Environmental Monitoring.Tap/treated Water.Metals.Cr,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.alkalinity,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Ca,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Cl,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.FeII,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.K,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Mg,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Na,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.NH4,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.NO2,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.NO3,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.ORP,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.pH,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.PO4,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.SO4,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Organic Carbon,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Turbidity,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Chlorine,,
Mother.Environmental Monitoring.Tap/treated Water.Water Quality.Coliforms,,
Mother.Environmental Monitoring.Tap/treated Water.Toxicity,,
Mother.Environmental Monitoring.Tap/treated Water.Toxicity.CTD Screening,,
Mother.Environmental Monitoring.Tap/treated Water.Toxicity.Pathway-specific,,
Mother.Environmental Monitoring.Tap/treated Water.Toxicity.Chem Mixture,,
Mother.Environmental Monitoring.Tap/treated Water.Toxicity.Water,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.CCl4,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.PCE,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.TCE,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.VC,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.TCA,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.DCE,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.DCA,,
Mother.Environmental Monitoring.Tap/treated Water.CVOCs.TCM,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.DEHP,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.BBP,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.DBP,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.DEP,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.DMP,,
Mother.Environmental Monitoring.Tap/treated Water.Phthalates.DNOP,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides.Diuron,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides.Atrazine,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides.Dieldrin,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides.Bromacil,,
Mother.Environmental Monitoring.Tap/treated Water.Pesticides.Aldrine,,
Mother.Environmental Monitoring.Tap/treated Water.Non Targeted,,
Mother.Environmental Monitoring.Tap/treated Water.Non Targeted.Many Chemicals,,
Mother.Environmental Monitoring.Superfund,,
Mother.Environmental Monitoring.Superfund.Sites,,
Mother.Environmental Monitoring.Superfund.Sites.Status,,
Mother.Environmental Monitoring.Superfund.Sites.Chemicals,,
Mother.Environmental Monitoring.Superfund.Sites.GIS,,
Mother.Environmental Monitoring.Superfund.Records,,
Mother.Environmental Monitoring.Superfund.Records.Metals,,
Mother.Environmental Monitoring.Superfund.Records.Pesticides,,
Mother.Environmental Monitoring.Superfund.Records.PAHs,,
Mother.Environmental Monitoring.Superfund.Records.Phthalates,,
Mother.Environmental Monitoring.Superfund.Records.CVOCs,,
Mother.Environmental Monitoring.Superfund.Media,,
Mother.Environmental Monitoring.Superfund.Media.Tap Water,,
Mother.Environmental Monitoring.Superfund.Media.Treated Water,,
Mother.Environmental Monitoring.Superfund.Media.Groundwater,,
Mother.Environmental Monitoring.Superfund.Media.Sediments,,
Mother.Environmental Monitoring.Superfund.Hydrology,,
Mother.Environmental Monitoring.Superfund.Hydrology.Rainfall,,
Mother.Environmental Monitoring.Superfund.Hydrology.Spring Flow,,
Mother.Environmental Monitoring.Superfund.Hydrology.Groundwater Levels,,
Mother.Psychosocial Factors,,
Mother.Psychosocial Factors.Demographics,,
Mother.Psychosocial Factors.Demographics.Age,,
Mother.Psychosocial Factors.Demographics.Income,,
Mother.Psychosocial Factors.Demographics.Education,,
Mother.Psychosocial Factors.Demographics.Race/Ethnicity,,
Mother.Psychosocial Factors.Self Reports,,
Mother.Psychosocial Factors.Self Reports.Residential History,,
Mother.Psychosocial Factors.Self Reports.Work History,,
Mother.Psychosocial Factors.Self Reports.Smoking,,
Mother.Psychosocial Factors.Self Reports.Alcohol,,
Mother.Psychosocial Factors.Self Reports.Drug Use,,
Mother.Psychosocial Factors.Self Reports.Supplements,,
Mother.Psychosocial Factors.Self Reports.Product Use,,
Mother.Psychosocial Factors.Self Reports.Food Frequency,,
Mother.Psychosocial Factors.Self Reports.Physical Activity,,
Mother.Psychosocial Factors.Validated Scales,,
Mother.Psychosocial Factors.Validated Scales.Life Events,,
Mother.Psychosocial Factors.Validated Scales.Perceived Stress,,
Mother.Psychosocial Factors.Validated Scales.Depression,,
Mother.Psychosocial Factors.Validated Scales.Social Support,,
Mother.Health Measures,,
Mother.Health Measures.Prenatal,,
Mother.Health Measures.Prenatal.Pregnancy History,,
Mother.Health Measures.Prenatal.Gestational Age,,
Mother.Health Measures.Prenatal.Sonograms,,
Mother.Health Measures.Prenatal.Prenatal Exam,,
Mother.Health Measures.Prenatal.CBC,,
Mother.Health Measures.Prenatal.Urinalysis,,
Mother.Health Measures.Prenatal.Fasting blood sugar,,
Mother.Health Measures.Prenatal.PAP,,
Mother.Health Measures.Prenatal.Medication,,
Mother.Health Measures.Prenatal.Labor,,
Mother.Health Measures.Birth Outcomes,,
Mother.Health Measures.Birth Outcomes.Preeclampsia,,
Mother.Health Measures.Birth Outcomes.Gst Diabetes,,
Mother.Health Measures.Birth Outcomes.Imp-Fetal Growth,,
Mother.Health Measures.Birth Outcomes.Preterm,,
Mother.Health Measures.Birth Outcomes.Birth Weight,,
Mother.Health Measures.Birth Outcomes.Apgar,,
