id,value,
Mother.Environmental.TapWater.CVOCs.CM,3446,
Mother.Environmental.TapWater.CVOCs.PCE,3.0,
Mother.Environmental.TapWater.CVOCs.TCE,3.7,
Mother.Environmental.TapWater.CVOCs.VC,4312,4312
Mother.Environmental.TapWater.CVOCs.TeCA,3422,
Mother.Environmental.TapWater.CVOCs.TCA,4968,
Mother.Environmental.TapWater.CVOCs.DCE,4573,
Mother.Environmental.TapWater.CVOCs.DCA,5107,
Mother.Environmental.TapWater.CVOCs.BF,3391,
Mother.Environmental.TapWater.CVOCs.CA,3468,
Mother.Environmental.TapWater.Phthalates,,
Mother.Environmental.TapWater.Phthalates.DEHP,3.8,
Mother.Environmental.TapWater.Phthalates.BBP,87,
Mother.Environmental.TapWater.Phthalates.DBP,4.5,
Mother.Environmental.TapWater.Phthalates.DEP,3.0,
Mother.Environmental.TapWater.Phthalates.DMP,94,
Mother.Environmental.TapWater.Phthalates.DNOP,100,
Mother.Environmental.TapWater.Phthalates.TCAA,4.5,
Mother.Environmental.TapWater.Phthalates.DCAA,4.3,
Mother.Environmental.TapWater.Phthalates.MBAA,4.5,
Mother.Environmental.TapWater.Phthalates.DBAA,4.3,
Mother.Environmental.TapWater.Phthalates.BCAA,4.3,
Mother.Environmental.TapWater.Quality,,
Mother.Environmental.TapWater.Quality.alkalinity,107,
Mother.Environmental.TapWater.Quality.Ca,145,
Mother.Environmental.TapWater.Quality.Cl,252,
Mother.Environmental.TapWater.Quality.F,252,
Mother.Environmental.TapWater.Quality.FeII,34,
Mother.Environmental.TapWater.Quality.K,145,
Mother.Environmental.TapWater.Quality.Li,136,
Mother.Environmental.TapWater.Quality.Mg,145,
Mother.Environmental.TapWater.Quality.Na,145,
Mother.Environmental.TapWater.Quality.NH4,129,
Mother.Environmental.TapWater.Quality.NO2,251,
Mother.Environmental.TapWater.Quality.NO3,252,
Mother.Environmental.TapWater.Quality.ORP,339,
Mother.Environmental.TapWater.Quality.pH,386,
Mother.Environmental.TapWater.Quality.PO4,252,
Mother.Environmental.TapWater.Quality.SO4,251,
Mother.Environmental.TapWater.Metals,,
Mother.Environmental.TapWater.Metals.As,6.5,
Mother.Environmental.TapWater.Metals.Ba,4.2,
Mother.Environmental.TapWater.Metals.Zn,4.0,
Mother.Environmental.TapWater.Metals.Ni,3.5,
Mother.Environmental.TapWater.Metals.Cd,4.0,
Mother.Environmental.TapWater.Metals.Cr,3.5,
Mother.Environmental.TapWater.Pesticides,,
Mother.Environmental.TapWater.Pesticides.Propofol,44,
Mother.Environmental.TapWater.Pesticides.Ocdadecane,44,
Mother.Environmental.TapWater.Pesticides.Atrazine,44,
Mother.Environmental.TapWater.Pesticides.Terbacil,44,
Mother.Environmental.TapWater.Pesticides.Bromacil,44,
Mother.Environmental.TapWater.Pesticides.Aldine,44,
Mother.Environmental.Spring/Well,,
Mother.Environmental.Spring/Well.CVOCs,,
Mother.Environmental.Spring/Well.CVOCs.BDCM,2.8,
Mother.Environmental.Spring/Well.CVOCs.CCl4,3.5,
Mother.Environmental.Spring/Well.CVOCs.CDBM,3418,
Mother.Environmental.Spring/Well.CVOCs.cis-1,2-DCE,3.2
Mother.Environmental.Spring/Well.CVOCs.CM,3446,
Mother.Environmental.Spring/Well.CVOCs.PCE,3.0,
Mother.Environmental.Spring/Well.CVOCs.TCE,3.7,
Mother.Environmental.Spring/Well.CVOCs.VC,4312,4312
Mother.Environmental.Spring/Well.CVOCs.TeCA,3422,
Mother.Environmental.Spring/Well.CVOCs.TCA,4968,
Mother.Environmental.Spring/Well.CVOCs.DCE,4573,
Mother.Environmental.Spring/Well.CVOCs.DCA,5107,
Mother.Environmental.Spring/Well.CVOCs.BF,3391,
Mother.Environmental.Spring/Well.CVOCs.CA,3468,
Mother.Environmental.Spring/Well.Phthalates,,
Mother.Environmental.Spring/Well.Phthalates.DEHP,3.8,
Mother.Environmental.Spring/Well.Phthalates.BBP,87,
Mother.Environmental.Spring/Well.Phthalates.DBP,4.5,
Mother.Environmental.Spring/Well.Phthalates.DEP,3.0,
Mother.Environmental.Spring/Well.Phthalates.DMP,94,
Mother.Environmental.Spring/Well.Phthalates.DNOP,100,
Mother.Environmental.Spring/Well.Phthalates.TCAA,4.5,
Mother.Environmental.Spring/Well.Phthalates.DCAA,4.3,
Mother.Environmental.Spring/Well.Phthalates.MBAA,4.5,
Mother.Environmental.Spring/Well.Phthalates.DBAA,4.3,
Mother.Environmental.Spring/Well.Phthalates.BCAA,4.3,
Mother.Environmental.Spring/Well.Quality,,
Mother.Environmental.Spring/Well.Quality.alkalinity,107,
Mother.Environmental.Spring/Well.Quality.Ca,145,
Mother.Environmental.Spring/Well.Quality.Cl,252,
Mother.Environmental.Spring/Well.Quality.F,252,
Mother.Environmental.Spring/Well.Quality.FeII,34,
Mother.Environmental.Spring/Well.Quality.K,145,
Mother.Environmental.Spring/Well.Quality.Li,136,
Mother.Environmental.Spring/Well.Quality.Mg,145,
Mother.Environmental.Spring/Well.Quality.Na,145,
Mother.Environmental.Spring/Well.Quality.NH4,129,
Mother.Environmental.Spring/Well.Quality.NO2,251,
Mother.Environmental.Spring/Well.Quality.NO3,252,
Mother.Environmental.Spring/Well.Quality.ORP,339,
Mother.Environmental.Spring/Well.Quality.pH,386,
Mother.Environmental.Spring/Well.Quality.PO4,252,
Mother.Environmental.Spring/Well.Quality.SO4,251,
Mother.Environmental.Spring/Well.Metals,,
Mother.Environmental.Spring/Well.Metals.As,6.5,
Mother.Environmental.Spring/Well.Metals.Ba,4.2,
Mother.Environmental.Spring/Well.Metals.Zn,4.0,
Mother.Environmental.Spring/Well.Metals.Ni,3.5,
Mother.Environmental.Spring/Well.Metals.Cd,3.5,
